Title,Author,Published Date,Categories,Description,ISBN_13,Maturity Rating
Call Me by Your Name,André Aciman,2009,Fiction,The story of a sudden and powerful romance that blooms between seventeen-year-old Elio and his father's house guest Oliver over the course of a restless summer on the Italian Riviera.,9781843546535,NOT_MATURE
Call Me by Your Name,Andre Aciman,2017,Authors,,,NOT_MATURE
Call me by your name,André Aciman,2018,,,9788763859660,NOT_MATURE
Llámame por tu nombre / Call Me by Your Name,André Aciman,2018-05-29,Fiction,"Un viaje por los rincones más profundos de los sentimientos y del erotismo. Llámame por tu nombre ha sido galardonada con el Lambda Literary Award, mejor Libro del Año según The Washington Post y Publishers Weekly y es la novela en la que se basa la película Call me by your name. En una localidad de la costa de Italia, durante la década de los ochenta, la familia de Elio instauró la tradición de recibir en el verano a estudiantes o creadores jóvenes que, a cambio de alojamiento, ayudaran al cabeza de familia, catedrático, en sus compromisos culturales. Oliver es el elegido este verano, un joven escritor norteamericano que pronto excita la imaginación de Elio. Durante las siguientes semanas, los impulsos ocultos de obsesión y miedo, fascinación y deseo intensificarán su pasión. ENGLISH DESCRIPTION Now a Major Motion Picture from Director Luca Guadagnino, Starring Armie Hammer and Timothée Chalamet, and Written by Three-Time Oscar™ Nominee James Ivory The Basis of the Oscar-Winning Best Adapted Screenplay A New York Times Bestseller A USA Today Bestseller A Los Angeles Times Bestseller A Vulture Book Club Pick An Instant Classic and One of the Great Love Stories of Our Time Andre Aciman's Call Me by Your Name is the story of a sudden and powerful romance that blossoms between an adolescent boy and a summer guest at his parents’ cliffside mansion on the Italian Riviera. Each is unprepared for the consequences of their attraction, when, during the restless summer weeks, unrelenting currents of obsession, fascination, and desire intensify their passion and test the charged ground between them. Recklessly, the two verge toward the one thing both fear they may never truly find again: total intimacy. It is an instant classic and one of the great love stories of our time. Winner of the Lambda Literary Award for Ficition A New York Times Notable Book of the Year • A Publishers Weekly and The Washington Post Best Book of the Year • A New York Magazine ""Future Canon"" Selection • A Chicago Tribuneand Seattle Times (Michael Upchurch's) Favorite Favorite Book of the Year",9781947783706,MATURE
Call Me by Your Name Ruf mich bei deinem Namen,André Aciman,2018-02-09,,,9783423086561,NOT_MATURE
Kutsu minua nimelläsi,André Aciman,2019-03-05,Fiction,"Huikea romaani elokuvamenestyksen takana. Call Me By Your Name oli vuoden 2017 elokuvatapaus, ja André Acimanin romaani Kutsu minua nimelläsi on yhtä lumoava kokemus: Italia, ensirakkauden huuma, säkenöivä äly ja riipaiseva pettymys tekevät siitä välittömän klassikon, yhden aikamme suurista rakkaustarinoista. 17-vuotias Elio on tottunut siihen, että hänen perheensä tarjoaa joka kesä vuokrahuoneen jatko-opiskelijalle. Kesällä 1987 italialaiseen huvilaan saapuu amerikkalainen Oliver, ja Elion maailma järkkyy. Filosofianopiskelija Oliver on älykäs, rento ja hurmaava siinä missä vielä teini-ikäinen Elio on ujo ja sisäänpäin kääntynyt. André Aciman kuvaa mestarillisesti ensirakkauden syntyä, sitä miten Oliver alkaa hallita Elion jokaista liikettä ja ajatusta, miten Elio tekee kaikkensa uskaltaakseen lähestyä rakkautensa kohdetta - ja miten vaikeasti tulkittava jo aikuinen Oliver on. Elion ja Oliverin intohimo palaa hetken kirkkaana ja Italian aurinko on ikuinen, mutta täydellinen kesä on lyhyt.""Tämä romaani hehkuu. Kehitystarina, paljastustarina, mietelmä ajasta ja intohimosta, rakkauskirje, vetoomus ja eräänlainen muistokirjoitus, Kutsu minua nimelläsi on myös avoin kysymys."" The New York Times""Jos on koskaan antautunut kaiken nielevälle rakkaudelle – sille vastaansanomattomalle voimalle, joka vetää kohti rakastettua - tunnistaa jokaisen vivahteen André Acimanin loisteliaasta romaanista Kutsu minua nimelläsi."" The Washington Post André Aciman (s. 1951) on yhdysvaltalainen kirjailija ja kirjallisuuden professori, joka kasvoi ranskankielisessä perheessä Egyptissä ja Italiassa ja muutti Yhdysvaltoihin aikuisuuden kynnyksellä. Hän opettaa ranskalaista kirjallisuutta ja luovaa kirjoittamista New York City Universityssä. Kaunokirjallisuuden lisäksi hän on kirjoittanut palkitun muistelmateoksen Out of Egypt. Kutsu minua nimelläsi on hänen tunnetuin romaaninsa.",9789520406660,NOT_MATURE
Call Me by Your Name,André Aciman,2017,,,,NOT_MATURE
Americanah,Chimamanda Ngozi Adichie,2013-05-14,Fiction,"WINNER 2013 – National Book Critics Circle Award for Fiction FINALIST 2014 – Baileys Women’s Prize for Fiction FINALIST 2014 – Andrew Carnegie Medal for Fiction LONGLISTED 2015 – International IMPAC Dublin Literary Award A searing new novel, at once sweeping and intimate, by the award-winning author of Half of a Yellow Sun: a story of love and race centered around a man and woman from Nigeria who seemed destined to be together--until the choices they are forced to make tear them apart. Ifemelu--beautiful, self-assured--left Nigeria 15 years ago, and now studies in Princeton as a Graduate Fellow. She seems to have fulfilled every immigrant's dream: Ivy League education; success as a writer of a wildly popular political blog; money for the things she needs. But what came before is more like a nightmare: wrenching departure from family; humiliating jobs under a false name. She feels for the first time the weight of something she didn't think about back home: race. Obinze--handsome and kind-hearted--was Ifemelu's teenage love; he'd hoped to join her in America, but post 9/11 America wouldn't let him in. Obinze's journey leads him to back alleys of illegal employment in London; to a fake marriage for the sake of a work card, and finally, to a set of handcuffs as he is exposed and deported. Years later, when they reunite in Nigeria, neither is the same person who left home. Obinze is the kind of successful ""Big Man"" he'd scorned in his youth, and Ifemelu has become an ""Americanah""--a different version of her former self, one with a new accent and attitude. As they revisit their shared passion--for their homeland and for each other--they must face the largest challenges of their lives. Spanning three continents, entering the lives of a richly drawn cast of characters across numerous divides, Americanah is a riveting story of love and expectation set in today's globalized world.",9780345807465,NOT_MATURE
Americanah,Chimamanda Ngozi Adichie,2015-06-25,,,9783596185986,NOT_MATURE
Americanah (Spanish Edition),Chimamanda Ngozi Adichie,2016-04-12,Fiction,"Nominada por los estadounidenses como una de las 100 mejores novelas en la serie de PBS The Great American Read. Una original historia sobre la inmigración en Estados Unidos desde el punto de vista de una estudiante de literatura nigeriana. Lagos, mediados de los noventa. En el marco de una dictadura militar y en una Nigeria que ofrece poco o ningún futuro, Ifemelu y Obinze, dos adolescentes atípicos, se enamoran apasionadamente. Como gran parte de su generación, saben que antes o después tendrán que dejar el país. Obinze siempre ha soñado con vivir en Estados Unidos, pero es Ifemelu quien consigue el visado para vivir con su tía en Brooklyn y estudiar en la universidad. Mientras Obinze lucha contra la burocracia para reunirse con Ifemelu, ella se encuentra en una América donde nada es como se imaginaba, comenzando por la importancia del color de su piel. Todas sus experiencias, desgracias y aventuras conducen a una única pregunta:¿acabará convirtiéndose en una «americanah»? Americanah, que recoge el término burlón con que los nigerianos se refieren a los que vuelven de Estados Unidos dándose aires, es una historia de amor a lo largo de tres décadas y tres continentes, la historia de cómo se crea una identidad al margen de los dictados de la sociedad y sus prejuicios. Reseñas: «Confirma el virtuosismo, la empatía sin límites y la punzante agudeza social de Adichie.» Dave Eggers «Hay algunas novelas que cuentan una gran historia y otras que consiguen que cambies la manera que tienes de ver el mundo. Americanah, de Chimamanda Ngozi Adichie, consigue las dos cosas.» Elisabeth Day, The Guardian «Americanah es esa cosa rara en la ficción literaria contemporánea: una exuberante historia de amor que también es una crítica social penetrante y divertida [...]. Adichie escribe con perspicacia.» Vogue ENGLISH DESCRIPTION Nominated as one of America's best-loved novels by PBS's The Great American Read One of The New York Times's Ten Best Books of the Year. Winner of the National Book Critics Circle Award for Fiction. An NPR ""Great Reads"" Book, a Chicago Tribune Best Book, a Washington Post Notable Book, a Seattle Times Best Book, an Entertainment Weekly Top Fiction Book, a Newsday Top 10 Book, and a Goodreads Best of the Year pick. A powerful, tender story of race and identity by Chimamanda Ngozi Adichie, the award-winning author of Half of a Yellow Sun. Ifemelu and Obinze are young and in love when they depart military-ruled Nigeria for the West. Beautiful, self-assured Ifemelu heads for America, where despite her academic success, she is forced to grapple with what it means to be black for the first time. Quiet, thoughtful Obinze had hoped to join her, but with post-9/11 America closed to him, he instead plunges into a dangerous, undocumented life in London. Fifteen years later, they reunite in a newly democratic Nigeria, and reignite their passion--for each other and for their homeland.",9786073123853,NOT_MATURE
Americanah,Chimamanda Ngozi Adichie,2014,Fiction,,9788806201012,NOT_MATURE
Americanah,Chimamanda Ngozi Adichie,2016-04-27,,,9783596521067,NOT_MATURE
Americanah (Edição comemorativa de 10 anos),Chimamanda Ngozi Adichie,2024-07-10,Fiction,"Depois de dez anos da primeira publicação no Brasil, o best-seller internacional de Chimamanda Ngozi Adichie ganha edição comemorativa limitada, com introdução inédita da autora. Bem-humorado, sagaz e implacável, conjugando o melhor dos grandes romances e da crítica social, Americanah é um épico da contemporaneidade. ""Ser negra na América era me sentir atropelada pelo peso da História e dos estereótipos, saber que a raça sempre era uma razão, causa ou explicação possível para as grandes e pequenas interações que compõem nossas frágeis vidas"", é o que diz Chimamanda Ngozi Adichie na introdução a esta edição de Americanah. Lançado pela primeira vez no Brasil em 2014, o livro logo se destacou com a comovente história de Ifemelu e Obinze, dois jovens apaixonados que, em busca de um futuro melhor fora da Nigéria, tomam rumos diferentes: ela parte para os Estados Unidos, onde, apesar do seu sucesso social e acadêmico, é forçada a lidar pela primeira vez com o que significa ser negra naquele país; ele se muda para a Inglaterra, mas diante de uma série de problemas é deportado e volta para Lagos, onde se casa e conquista a desejada estabilidade social. Uma das mais importantes autoras nigerianas do século XXI, Chimamanda Ngozi Adichie parte de uma história de amor arrebatadora para debater questões prementes e universais como imigração, preconceito racial e desigualdade de gênero. ""Um épico intergeracional que confirma a virtuosidade de Adichie, sua empatia sem limites e a acuidade de sua crítica social."" — Dave Eggers",9788535938708,NOT_MATURE
Americanah (edición especial limitada) (Spanish Edition),Chimamanda Ngozi Adichie,2018-05-29,Fiction,"Uno de los mejores libros de ficción la década del 2010 según Times Nominada por los estadounidenses como una de las 100 mejores novelas en la serie de PBS The Great American Read. Una original historia sobre la inmigración en Estados Unidos desde el punto de vista de una estudiante de literatura nigeriana. Americanah ha sido galardonada con el National Book Critics Circle Award 2014 y seleccionada por los ciudadanos de Nueva York como el libro ganador de la campaña «One Book, One New York» 2017. Edición especial limitada con prólogo de Elvira Lindo Lagos, mediados de los noventa. En el marco de una dictadura militar y en una Nigeria que ofrece poco o ningún futuro, Ifemelu y Obinze, dos adolescentes atípicos, se enamoran apasionadamente. Como gran parte de su generación, saben que antes o después tendrán que dejar el país. Obinze siempre ha soñado con vivir en Estados Unidos, pero es Ifemelu quien consigue el visado para vivir con su tía en Brooklyn y estudiar en la universidad. Mientras Obinze lucha contra la burocracia para reunirse con Ifemelu, ella se encuentra en una América donde nada es como se imaginaba, comenzando por la importancia del color de su piel. Todas sus experiencias, desgracias y aventuras conducen a una única pregunta: ¿acabará convirtiéndose en una «americanah»? Americanah, que recoge el término burlón con que los nigerianos se refieren a los que vuelven de Estados Unidos dándose aires, es una historia de amor a lo largo de tres décadas y tres continentes, la historia de cómo se crea una identidad al margen de los dictados de la sociedad y sus prejuicios. ENGLISH DESCRIPTION One of Time's 10 Best Fiction Books of the 2010s Nominated as one of America’s best-loved novels by PBS’s The Great American Read The bestselling novel—a love story of race and identity—from the award-winning author of We Should All Be Feminists and Dear Ijeawele. Ifemelu and Obinze are young and in love when they depart military-ruled Nigeria for the West. Beautiful, self-assured Ifemelu heads for America, where despite her academic success, she is forced to grapple with what it means to be black for the first time. Quiet, thoughtful Obinze had hoped to join her, but with post-9/11 America closed to him, he instead plunges into a dangerous, undocumented life in London. Fifteen years later, they reunite in a newly democratic Nigeria, and reignite their passion—for each other and for their homeland.",9788439732976,NOT_MATURE
Book Group Bag,Chimamanda Ngozi Adichie,2014,,,,NOT_MATURE
Americanah 1,,,,,9788793261051,NOT_MATURE
Conversations on Americanah,Chimamanda Ngozi Adichie,2015,,,9781537489544,NOT_MATURE
Half of a Yellow Sun,Chimamanda Ngozi Adichie,2010-10-29,Fiction,"With her award-winning debut novel, Purple Hibiscus, Chimamanda Ngozi Adichie was heralded by the Washington Post Book World as the “21st century daughter” of Chinua Achebe. Now, in her masterly, haunting new novel, she recreates a seminal moment in modern African history: Biafra’s impassioned struggle to establish an independent republic in Nigeria during the 1960s. With the effortless grace of a natural storyteller, Adichie weaves together the lives of five characters caught up in the extraordinary tumult of the decade. Fifteen-year-old Ugwu is houseboy to Odenigbo, a university professor who sends him to school, and in whose living room Ugwu hears voices full of revolutionary zeal. Odenigbo’s beautiful mistress, Olanna, a sociology teacher, is running away from her parents’ world of wealth and excess; Kainene, her urbane twin, is taking over their father’s business; and Kainene’s English lover, Richard, forms a bridge between their two worlds. As we follow these intertwined lives through a military coup, the Biafran secession and the subsequent war, Adichie brilliantly evokes the promise, and intimately, the devastating disappointments that marked this time and place. Epic, ambitious and triumphantly realized, Half of a Yellow Sun is a more powerful, dramatic and intensely emotional picture of modern Africa than any we have had before.",9780307373540,NOT_MATURE
Half of a Yellow Sun,Chimamanda Ngozi Adichie,2018,,,9789785555707,NOT_MATURE
Half Of A Yellow Sun,Chimamanda N. Adichie,2009-07,Fiction,"A historical fiction that follows the life of 2 Nigerian sisters against the backdrop of tumultuous historical events in Africa. Recipient of the Orange Broadband Prize in 2007. Vietnamese translation by Nguyen Thi Hai Ha. In Vietnamese. Distributed by Tsai Fong Books, Inc.",9786041680890,NOT_MATURE
Medio Sol Amarillo / Half of a Yellow Sun,Chimamanda Ngozi Adichie,2024-10-22,Fiction,"Winner of Winners 25 aniversario del Women's Prize for Fiction Medio sol amarillo es una novela épica y magistral, que cuestiona el colonialismo, las alianzas étnicas y la responsabilidad moral de un conflicto, el de Nigeria, apoyado por las potencias mundiales. -Edición especial limitada con prólogo de Lina Meruane- Medio sol amarillo recrea un período de la historia contemporánea de África: la lucha de Biafra por conseguir una república independiente de Nigeria, y la consecuente guerra civil que segó la vida de miles de personas. Con gran empatía y la naturalidad de una narradora comprometida, Chimamanda Ngozi Adichie recrea la vida de tres personajes atrapados en las turbulencias de la década: el joven Ugwu, empleado de la casa de un profesor universitario de ideas revolucionarias; Olanna, la hermosa mujer del profesor, que por amor ha abandonado su privilegiada vida en Lagos para residir en una polvorienta ciudad, y Richard, un joven y tímido inglés que está enamorado de la hermana de Olanna, una mujer misteriosa que renuncia a comprometerse con nadie. A medida que las tropas nigerianas avanzan, los protagonistas de esta historia deben defender sus creencias y reafirmar sus lealtades.",9788466353564,NOT_MATURE
"Half of a Yellow Sun, Americanah, Purple Hibiscus: Chimamanda Ngozi Adichie Three-Book Collection",Chimamanda Ngozi Adichie,2014-04-07,Fiction,"‘A delicious, important novel’ The Times ‘Alert, alive and gripping’ Independent ‘Some novels tell a great story and others make you change the way you look at the world. Americanah does both’ Guardian",9780007588534,NOT_MATURE
Cool for the Summer,Dahlia Adler,2021-05-11,Young Adult Fiction,"""Witty, wise, and disarmingly tender. I am hopelessly devoted to this summer dream of a book."" —Becky Albertalli, New York Times bestselling author of Simon vs. the Homo Sapiens Agenda The guy of her dreams... or the girl in her heart? Lara's had eyes for exactly one person throughout her three years of high school: Chase Harding. He's tall, strong, sweet, a football star, and frankly, stupid hot. Oh, and he's talking to her now. On purpose and everything. Maybe...flirting, even? No, wait, he's definitely flirting, which is pretty much the sum of everything Lara's wanted out of life. Except she’s haunted by a memory. A memory of a confusing, romantic, strangely perfect summer spent with a girl named Jasmine. A memory that becomes a confusing, disorienting present when Jasmine herself walks through the front doors of the school to see Lara and Chase chatting it up in front of the lockers. Lara has everything she ever wanted: a tight-knit group of friends, a job that borders on cool, and Chase, the boy of her literal dreams. But if she's finally got the guy, why can't she stop thinking about the girl? Dahlia Adler's Cool for the Summer is a story of self-discovery and new love. It’s about the things we want and the things we need. And it’s about the people who will let us be who we are.",9781250765833,NOT_MATURE
Cool for the summer,Dahlia Adler,2021-10-15,Young Adult Fiction,"Uma história sobre autodescoberta e novos amores O cara dos sonhos... ou a garota que não sai da sua cabeça? Larissa sempre teve olhos apenas para Chase Harding. Alto, forte, fofo, estrela do time de futebol americano da escola e gostoso em tempo integral, ele finalmente começou a prestar atenção nela. E não foi obrigado nem nada. Talvez esteja até... flertando com ela? Sim, ele definitivamente está flertando com ela, o que é basicamente o sonho da vida de Lara, como ela é conhecida. Mas o momento não poderia ser mais inoportuno, porque agora ela não consegue tirar da cabeça os dias de verão um tanto quanto confusos, românticos e estranhamente perfeitos que viveu com uma garota chamada Jasmine. As coisas ficam ainda mais esquisitas quando Lara descobre que Jasmine se transferiu para sua escola e percebe que a garota parece disposta a esquecer tudo o que aconteceu entre elas. Larissa tem tudo o que sempre quis: um grupo de amigas incríveis, um trabalho relativamente legal e Chase, o cara dos seus sonhos. Mas, agora que finalmente conquistou o garoto, por que não consegue parar de pensar em Jasmine? Cool for the summer: Um verão inesquecível é uma reflexão sobre as coisas que queremos e aquilo de que precisamos. Mais que tudo, é sobre as pessoas que nos encorajam a ser quem somos.",9786588131411,NOT_MATURE
Aquellas noches de verano,Dahlia Adler,2023-03-10,Young Adult Fiction,"Larissa tiene por fin todo lo que deseaba: un grupo de amigas, un trabajo casi interesante y a Chase, el mejor jugador del equipo de fútbol americano y el chico del que llevaba años enamorada. Sin embargo, no logra desprenderse de un recuerdo confuso, dulce y terriblemente romántico: el verano pasado junto a una chica llamada Jasmine. Sobre todo cuando dicho recuerdo reaparece, muy vivo, en el pasillo de su instituto. Una versión muy especial de Grease que es a la vez una historia de amor, autodescubrimiento y libertad, un canto a las cosas que queremos y a las que necesitamos. «Lleno de humor, dulzura y sensualidad, este romance le llegará a cualquiera que haya luchado por conocer su propio corazón». (Booklist, reseña destacada) «Ingeniosa, sesuda y arrebatadoramente tierna». (Becky Albertalli, autora de Yo, Simon, Homo sapiens) «Quienes disfruten del romance se sorprenderán gratamente con este libro». (School Library Journal) «Aquellas noches de verano es el libro que habría querido tener de adolescente. Dahlia retrata a la perfección lo que es sentirse dividida entre lo que pensamos que queremos y lo que queremos de verdad». (Jen Wilde, autora de Fuera de guión y Reinas geek)",9788412492637,NOT_MATURE
Public Enemies,Ann Aguirre,2015-08-04,Young Adult Fiction,"Public Enemies, book two of the Immortal Game series, is a darkly fantastic, heart-pounding book by Ann Aguirre, the New York Times- and USA Today-bestselling author of the Razorland series. Learn the rules of the game . . . and then play better than anyone else. Through a Faustian bargain, Edie Kramer has been pulled into the dangerous world of the Immortal Game, where belief makes your nightmares real. Hungry for sport, fears-made-flesh are always raising the stakes. To them, human lives are less than nothing, just pieces on a board. Because of her boyfriend Kian’s sacrifice, she’s operating under the mysterious Harbinger’s aegis, but his patronage could prove as fatal as the opposition. Raw from deepest loss, she’s terrified over the deal Kian made for her. Though her very public enemies keep sending foot soldiers—mercenary monsters committed to her destruction—she’s not the one playing under a doom clock. Kian has six months, unless Edie can save him. And this is a game she can’t bear to lose. ""Should particularly appeal to fans of Ilsa Bick's ""The Dark Passages"" series and Mary Weber's ""The Storm Siren"" trilogy. . . . This engaging nightmare will make even mature horror readers check under the bed at night."" -School Library Journal ""The world-building that creates the dark and suspenseful atmosphere for this story is in full swing, and readers will enjoy the larger glimpses into the underworld. The romance between Edie and Kian is also heating up, and Edie gets the opportunity to act as his guardian. . . . The plot is fast paced and leads to a suspenseful ending."" -VOYA",9781250086914,NOT_MATURE
The Beautiful,Renée Ahdieh,2021-08-31,Young Adult Fiction,"Now in paperback, the first book--an instant bestseller--in the sumptuous, sultry, and romantic YA vampire series from New York Times bestselling author Renee Ahdieh. In 1872, New Orleans is a city ruled by the dead. But to seventeen-year-old Celine Rousseau, New Orleans is a safe haven after she's forced to flee her life as a dressmaker in Paris. Taken in by the sisters of the Ursuline convent, Celine is quickly enraptured by the vibrant city becoming embroiled in the glitzy underworld, known as La Cour des Lions, after catching the eye of the group's enigmatic leader, Sébastien Saint Germain. When the body of one of the girls from the convent is found in Sébastien's own lair--the second dead girl to turn up in recent weeks--Celine must battle her attraction to Sébastien and suspicions about his guilt along with the shame of her own horrible secret.",9781524738198,NOT_MATURE
The Damned,Renée Ahdieh,2020-07-07,,"Forced to flee her home in Paris, Celine Rousseau hoped New Orleans would be a haven, where she could lead a new life in safety. But before long she was drawn into its dark underbelly by the enigmatic leader of the group known as La Cour des Lions, Sébastien Saint Germain",9781529368345,NOT_MATURE
